date,code,open,high,low,close,preclose,volume,amount,pctChg
2018-01-02,sh.000016,2867.5280,2912.2690,2867.5280,2908.7310,2860.4360,5400866816,63411514880.0000,1.688400
2018-01-03,sh.000016,2914.2780,2947.6300,2906.5980,2913.2590,2908.7310,4820686592,69339664384.0000,0.155700
2018-01-04,sh.000016,2918.2550,2934.1510,2910.6620,2919.4780,2913.2590,4352071168,59071711232.0000,0.213500
2018-01-05,sh.000016,2926.7780,2940.1790,2920.0840,2932.3550,2919.4780,4994334720,62492266496.0000,0.441100
2018-01-08,sh.000016,2933.8240,2952.3440,2926.8700,2947.7610,2932.3550,5805279232,82070564864.0000,0.525400
2018-01-09,sh.000016,2947.5490,2972.4250,2947.1150,2969.3170,2947.7610,4058903408,60495808512.0000,0.731300
2018-01-10,sh.000016,2968.3430,2999.7480,2966.1800,2995.5640,2969.3170,5776385024,72207519744.0000,0.883900
2018-01-11,sh.000016,2986.7920,3009.9920,2981.3340,2997.0440,2995.5640,4235182096,56280148992.0000,0.049400
2018-01-12,sh.000016,2997.9000,3019.7020,2993.5640,3018.5950,2997.0440,3816829600,55328487680.0000,0.719100
2018-01-15,sh.000016,3027.2020,3070.9380,3022.4720,3048.8070,3018.5950,6498882048,89764581376.0000,1.000900
2018-01-16,sh.000016,3041.3640,3065.1860,3035.7670,3063.8600,3048.8070,6426246912,87195144192.0000,0.493700
2018-01-17,sh.000016,3071.4990,3132.9920,3060.2180,3076.1810,3063.8600,9106632960,119155712000.0000,0.402100
2018-01-18,sh.000016,3096.2010,3125.8630,3084.2790,3106.5510,3076.1810,8770692608,111974248448.0000,0.987300
2018-01-19,sh.000016,3122.6720,3145.9930,3100.4060,3117.8210,3106.5510,9495530240,117995220992.0000,0.362800
2018-01-22,sh.000016,3104.9580,3144.8510,3104.4040,3130.3290,3117.8210,7746585088,96853995520.0000,0.401200
2018-01-23,sh.000016,3145.1070,3177.7620,3144.2810,3176.5040,3130.3290,10169189888,120507375616.0000,1.475100
2018-01-24,sh.000016,3189.7680,3202.4690,3150.5530,3180.3310,3176.5040,9913066752,125182316544.0000,0.120500
2018-01-25,sh.000016,3171.3490,3177.4070,3124.4550,3157.4590,3180.3310,7736397568,97574391808.0000,-0.719200
2018-01-26,sh.000016,3147.4770,3195.0720,3147.4770,3172.7770,3157.4590,8216463616,94465282048.0000,0.485100
2018-01-29,sh.000016,3184.2980,3197.8390,3107.9560,3120.6950,3172.7770,7292021504,96641912832.0000,-1.641500
2018-01-30,sh.000016,3109.1850,3127.7500,3077.3140,3079.1170,3120.6950,5427594496,69473845248.0000,-1.332300
2018-01-31,sh.000016,3063.2330,3118.7620,3062.5280,3116.8330,3079.1170,5560739584,72990261248.0000,1.224900
2018-02-01,sh.000016,3120.1330,3141.7680,3101.3380,3141.2300,3116.8330,7219328768,92604919808.0000,0.782700
2018-02-02,sh.000016,3113.2990,3150.6970,3082.9940,3149.6410,3141.2300,5290143488,72098054144.0000,0.267800
2018-02-05,sh.000016,3098.6720,3181.5940,3095.9870,3181.3390,3149.6410,7160734720,91528593408.0000,1.006400
2018-02-06,sh.000016,3114.3460,3140.0310,3094.4920,3117.4900,3181.3390,9864662272,127406399488.0000,-2.007000
2018-02-07,sh.000016,3147.3230,3166.6980,3020.3920,3029.6010,3117.4900,9470049280,119171432448.0000,-2.819200
2018-02-08,sh.000016,2998.6030,3019.2740,2911.4030,2945.8430,3029.6010,7311784704,89454604288.0000,-2.764700
2018-02-09,sh.000016,2857.4330,2871.5440,2724.5910,2810.0270,2945.8430,9192589824,111222595584.0000,-4.610400
2018-02-12,sh.000016,2803.8590,2823.8060,2776.9570,2805.2110,2810.0270,4629000448,56121422848.0000,-0.171400
2018-02-13,sh.000016,2834.3900,2887.8930,2834.3900,2852.7160,2805.2110,4662221056,56890393088.0000,1.693500
2018-02-14,sh.000016,2859.8660,2877.0360,2841.2390,2871.7870,2852.7160,2534981408,31690057728.0000,0.668500
2018-02-22,sh.000016,2915.9680,2936.8450,2900.8730,2931.8810,2871.7870,3929775296,49214807552.0000,2.092600
2018-02-23,sh.000016,2941.4210,2966.7520,2926.3620,2957.1710,2931.8810,3820748896,45850903296.0000,0.862600
2018-02-26,sh.000016,2973.8130,2986.8130,2933.5160,2973.7850,2957.1710,5021402624,58593508608.0000,0.561800
2018-02-27,sh.000016,2979.7680,2979.7680,2918.0070,2927.0960,2973.7850,4620143616,54502425856.0000,-1.570000
