,updateDate,code,code_name
154,2021-05-31,sh.601901,方正证券
155,2021-05-31,sh.601916,浙商银行
156,2021-05-31,sh.601919,中远海控
157,2021-05-31,sh.601933,永辉超市
158,2021-05-31,sh.601939,建设银行
159,2021-05-31,sh.601985,中国核电
160,2021-05-31,sh.601988,中国银行
161,2021-05-31,sh.601989,中国重工
162,2021-05-31,sh.601990,南京证券
163,2021-05-31,sh.601998,中信银行
164,2021-05-31,sh.603019,中科曙光
165,2021-05-31,sh.603087,甘李药业
166,2021-05-31,sh.603156,养元饮品
167,2021-05-31,sh.603160,汇顶科技
168,2021-05-31,sh.603195,公牛集团
169,2021-05-31,sh.603259,药明康德
170,2021-05-31,sh.603288,海天味业
171,2021-05-31,sh.603369,今世缘
172,2021-05-31,sh.603392,万泰生物
173,2021-05-31,sh.603501,韦尔股份
174,2021-05-31,sh.603658,安图生物
175,2021-05-31,sh.603799,华友钴业
176,2021-05-31,sh.603833,欧派家居
177,2021-05-31,sh.603899,晨光文具
178,2021-05-31,sh.603986,兆易创新
179,2021-05-31,sh.603993,洛阳钼业
180,2021-05-31,sh.688008,澜起科技
181,2021-05-31,sh.688009,中国通号
182,2021-05-31,sh.688012,中微公司
183,2021-05-31,sh.688036,传音控股
184,2021-05-31,sz.000001,平安银行
185,2021-05-31,sz.000002,万科A
186,2021-05-31,sz.000063,中兴通讯
187,2021-05-31,sz.000066,中国长城
188,2021-05-31,sz.000069,华侨城A
189,2021-05-31,sz.000100,TCL科技
190,2021-05-31,sz.000157,中联重科
191,2021-05-31,sz.000166,申万宏源
192,2021-05-31,sz.000333,美的集团
193,2021-05-31,sz.000338,潍柴动力
194,2021-05-31,sz.000425,徐工机械
195,2021-05-31,sz.000538,云南白药
196,2021-05-31,sz.000568,泸州老窖
197,2021-05-31,sz.000596,古井贡酒
198,2021-05-31,sz.000625,长安汽车
199,2021-05-31,sz.000627,天茂集团
200,2021-05-31,sz.000651,格力电器
201,2021-05-31,sz.000656,金科股份
202,2021-05-31,sz.000661,长春高新
203,2021-05-31,sz.000671,阳光城
204,2021-05-31,sz.000703,恒逸石化
205,2021-05-31,sz.000708,中信特钢
206,2021-05-31,sz.000723,美锦能源
207,2021-05-31,sz.000725,京东方A
208,2021-05-31,sz.000728,国元证券
209,2021-05-31,sz.000768,中航西飞
210,2021-05-31,sz.000776,广发证券
211,2021-05-31,sz.000783,长江证券
212,2021-05-31,sz.000786,北新建材
213,2021-05-31,sz.000858,五粮液
214,2021-05-31,sz.000860,顺鑫农业
215,2021-05-31,sz.000876,新希望
216,2021-05-31,sz.000895,双汇发展
217,2021-05-31,sz.000938,紫光股份
218,2021-05-31,sz.000961,中南建设
219,2021-05-31,sz.000963,华东医药
220,2021-05-31,sz.000977,浪潮信息
221,2021-05-31,sz.001979,招商蛇口
222,2021-05-31,sz.002001,新和成
223,2021-05-31,sz.002007,华兰生物
224,2021-05-31,sz.002008,大族激光
225,2021-05-31,sz.002024,苏宁易购
226,2021-05-31,sz.002027,分众传媒
227,2021-05-31,sz.002032,苏泊尔
228,2021-05-31,sz.002044,美年健康
229,2021-05-31,sz.002049,紫光国微
230,2021-05-31,sz.002050,三花智控
