updateDate,code,code_name
2021-03-29,sh.600376,首开股份
2021-03-29,sh.600380,健康元
2021-03-29,sh.600388,龙净环保
2021-03-29,sh.600392,盛和资源
2021-03-29,sh.600398,海澜之家
2021-03-29,sh.600409,三友化工
2021-03-29,sh.600410,华胜天成
2021-03-29,sh.600415,小商品城
2021-03-29,sh.600418,江淮汽车
2021-03-29,sh.600426,华鲁恒升
2021-03-29,sh.600435,北方导航
2021-03-29,sh.600446,金证股份
2021-03-29,sh.600460,士兰微
2021-03-29,sh.600466,蓝光发展
2021-03-29,sh.600486,扬农化工
2021-03-29,sh.600497,驰宏锌锗
2021-03-29,sh.600500,中化国际
2021-03-29,sh.600507,方大特钢
2021-03-29,sh.600511,国药股份
2021-03-29,sh.600516,方大炭素
2021-03-29,sh.600517,国网英大
2021-03-29,sh.600528,中铁工业
2021-03-29,sh.600529,山东药玻
2021-03-29,sh.600535,天士力
2021-03-29,sh.600545,卓郎智能
2021-03-29,sh.600546,山煤国际
2021-03-29,sh.600549,厦门钨业
2021-03-29,sh.600556,天下秀
2021-03-29,sh.600563,法拉电子
2021-03-29,sh.600566,济川药业
2021-03-29,sh.600567,山鹰国际
2021-03-29,sh.600572,康恩贝
2021-03-29,sh.600575,淮河能源
2021-03-29,sh.600580,卧龙电驱
2021-03-29,sh.600582,天地科技
2021-03-29,sh.600597,光明乳业
2021-03-29,sh.600598,北大荒
2021-03-29,sh.600623,华谊集团
2021-03-29,sh.600633,浙数文化
2021-03-29,sh.600639,浦东金桥
2021-03-29,sh.600640,号百控股
2021-03-29,sh.600642,申能股份
2021-03-29,sh.600643,爱建集团
2021-03-29,sh.600645,中源协和
2021-03-29,sh.600648,外高桥
2021-03-29,sh.600649,城投控股
2021-03-29,sh.600657,信达地产
2021-03-29,sh.600664,哈药股份
2021-03-29,sh.600667,太极实业
2021-03-29,sh.600673,东阳光
2021-03-29,sh.600675,中华企业
2021-03-29,sh.600699,均胜电子
2021-03-29,sh.600704,物产中大
2021-03-29,sh.600707,彩虹股份
2021-03-29,sh.600717,天津港
2021-03-29,sh.600718,东软集团
2021-03-29,sh.600728,佳都科技
2021-03-29,sh.600729,重庆百货
2021-03-29,sh.600733,北汽蓝谷
2021-03-29,sh.600737,中粮糖业
2021-03-29,sh.600739,辽宁成大
2021-03-29,sh.600748,上实发展
2021-03-29,sh.600754,锦江酒店
2021-03-29,sh.600755,厦门国贸
2021-03-29,sh.600764,中国海防
2021-03-29,sh.600765,中航重机
2021-03-29,sh.600776,东方通信
2021-03-29,sh.600779,水井坊
2021-03-29,sh.600782,新钢股份
2021-03-29,sh.600787,中储股份
2021-03-29,sh.600801,华新水泥
2021-03-29,sh.600804,鹏博士
2021-03-29,sh.600808,马钢股份
2021-03-29,sh.600811,东方集团
2021-03-29,sh.600820,隧道股份
2021-03-29,sh.600823,世茂股份
2021-03-29,sh.600827,百联股份
2021-03-29,sh.600835,上海机电
2021-03-29,sh.600839,四川长虹
2021-03-29,sh.600859,王府井
2021-03-29,sh.600862,中航高科
2021-03-29,sh.600863,内蒙华电
2021-03-29,sh.600867,通化东宝
2021-03-29,sh.600869,远东股份
2021-03-29,sh.600871,石化油服
2021-03-29,sh.600875,东方电气
2021-03-29,sh.600879,航天电子
2021-03-29,sh.600881,亚泰集团
2021-03-29,sh.600884,杉杉股份
2021-03-29,sh.600885,宏发股份
2021-03-29,sh.600895,张江高科
2021-03-29,sh.600901,江苏租赁
2021-03-29,sh.600903,贵州燃气
2021-03-29,sh.600908,无锡银行
2021-03-29,sh.600909,华安证券
2021-03-29,sh.600917,重庆燃气
2021-03-29,sh.600928,西安银行
2021-03-29,sh.600956,新天绿能
2021-03-29,sh.600959,江苏有线
2021-03-29,sh.600967,内蒙一机
2021-03-29,sh.600968,海油发展
2021-03-29,sh.600970,中材国际
2021-03-29,sh.600985,淮北矿业
2021-03-29,sh.601000,唐山港
2021-03-29,sh.601003,柳钢股份
2021-03-29,sh.601005,重庆钢铁
2021-03-29,sh.601016,节能风电
2021-03-29,sh.601068,中铝国际
2021-03-29,sh.601098,中南传媒
2021-03-29,sh.601099,太平洋
2021-03-29,sh.601106,中国一重
2021-03-29,sh.601118,海南橡胶
2021-03-29,sh.601127,小康股份
2021-03-29,sh.601128,常熟银行
2021-03-29,sh.601139,深圳燃气
2021-03-29,sh.601168,西部矿业
2021-03-29,sh.601179,中国西电
2021-03-29,sh.601200,上海环境
2021-03-29,sh.601228,广州港
2021-03-29,sh.601233,桐昆股份
2021-03-29,sh.601298,青岛港
2021-03-29,sh.601333,广深铁路
2021-03-29,sh.601456,国联证券
2021-03-29,sh.601512,中新集团
2021-03-29,sh.601598,中国外运
2021-03-29,sh.601608,中信重工
2021-03-29,sh.601611,中国核建
2021-03-29,sh.601615,明阳智能
2021-03-29,sh.601689,拓普集团
2021-03-29,sh.601699,潞安环能
2021-03-29,sh.601717,郑煤机
2021-03-29,sh.601718,际华集团
2021-03-29,sh.601778,晶科科技
2021-03-29,sh.601799,星宇股份
2021-03-29,sh.601801,皖新传媒
2021-03-29,sh.601828,美凯龙
2021-03-29,sh.601860,紫金银行
2021-03-29,sh.601865,福莱特
2021-03-29,sh.601866,中远海发
2021-03-29,sh.601869,长飞光纤
2021-03-29,sh.601880,辽港股份
2021-03-29,sh.601928,凤凰传媒
2021-03-29,sh.601958,金钼股份
2021-03-29,sh.601966,玲珑轮胎
2021-03-29,sh.601969,海南矿业
2021-03-29,sh.601975,招商南油
2021-03-29,sh.601992,金隅集团
2021-03-29,sh.601997,贵阳银行
2021-03-29,sh.603000,人民网
2021-03-29,sh.603056,德邦股份
2021-03-29,sh.603077,和邦生物
2021-03-29,sh.603198,迎驾贡酒
2021-03-29,sh.603225,新凤鸣
2021-03-29,sh.603228,景旺电子
2021-03-29,sh.603256,宏和科技
2021-03-29,sh.603260,合盛硅业
2021-03-29,sh.603290,斯达半导
2021-03-29,sh.603317,天味食品
2021-03-29,sh.603328,依顿电子
2021-03-29,sh.603338,浙江鼎力
2021-03-29,sh.603345,安井食品
2021-03-29,sh.603355,莱克电气
2021-03-29,sh.603377,东方时尚
2021-03-29,sh.603379,三美股份
2021-03-29,sh.603444,吉比特
2021-03-29,sh.603486,科沃斯
2021-03-29,sh.603515,欧普照明
2021-03-29,sh.603568,伟明环保
2021-03-29,sh.603589,口子窖
2021-03-29,sh.603605,珀莱雅
2021-03-29,sh.603638,艾迪精密
2021-03-29,sh.603650,彤程新材
2021-03-29,sh.603708,家家悦
2021-03-29,sh.603712,七一二
2021-03-29,sh.603719,良品铺子
2021-03-29,sh.603737,三棵树
2021-03-29,sh.603786,科博达
2021-03-29,sh.603806,福斯特
2021-03-29,sh.603816,顾家家居
2021-03-29,sh.603858,步长制药
2021-03-29,sh.603866,桃李面包
